Species,Area
Cyperus_pilosus,B
Cyperus_planifolius,B
Cyperus_plantaginifolius,A
Cyperus_plateilema,B
Cyperus_platystylis,B
Cyperus_plukenetii,B
Cyperus_polystachyos,AB
Cyperus_prieurianus,B
Cyperus_prolifer,AB
Cyperus_prolixus,B
Cyperus_proteus,B
Cyperus_pseudokyllingioides,AB
Cyperus_pseudovegetus,B
Cyperus_pseudovestitus,AB
Cyperus_pulchellus,AB
Cyperus_pumilus,AB
Cyperus_purpureoluteus,B
Cyperus_purpureoviridis,B
Cyperus_pustulatus,B
Cyperus_reductus,AB
Cyperus_reduncus,B
Cyperus_reflexus,B
Cyperus_refractus,B
Cyperus_regiomontanus,B
Cyperus_renschii,AB
Cyperus_retrorsus,B
Cyperus_rhizomatosus,A
Cyperus_richardii,B
Cyperus_rigens,B
Cyperus_rigidifolius,B
Cyperus_rotundus,AB
Cyperus_rubicundus,AB
Cyperus_rupestris,B
Cyperus_salzmannianus,B
Cyperus_sanguinolentus,B
Cyperus_schomburgkianus,B
Cyperus_sellowianus,B
Cyperus_serotinus,B
Cyperus_seslerioides,B
Cyperus_sesquiflorus,AB
Cyperus_smithianus,B
Cyperus_sphacelatus,AB
Cyperus_squarrosus,AB
Cyperus_steudneri,B
Cyperus_stolonifer,AB
Cyperus_strigosus,B
Cyperus_submicrolepis,B
Cyperus_subparadoxus,AB
Cyperus_subsquarrosus,AB
Cyperus_surinamensis,B
Cyperus_tenuispica,AB
Cyperus_tetragonus,B
Cyperus_thyrsiflorus,B
Cyperus_ustulatus,B
Cyperus_virens,B
Cyperus_waterlotii,A
Cyperus_xantholepis,B
Didymiandrum_stellatum,B
Diplacrum_africanum,AB
Diplacrum_caricinum,B
Diplasia_karatifolia,B
Dulichium_arundinaceum,B
Eleocharis_acicularis,B
Eleocharis_acuta,B
Eleocharis_acutangula,AB
Eleocharis_atropurpurea,AB
Eleocharis_attenuata,B
Eleocharis_baldwinii,B
Eleocharis_brittonii,B
Eleocharis_caespitosissima,AB
Eleocharis_compressa,B
Eleocharis_confervoides,AB
Eleocharis_congesta,B
Eleocharis_debilis,B
Eleocharis_dietrichiana,B
Eleocharis_dulcis,AB
Eleocharis_elliptica,B
Eleocharis_engelmannii,B
Eleocharis_equisetoides,B
Eleocharis_erythropoda,B
Eleocharis_fallax,B
Eleocharis_flavescens,B
Eleocharis_geniculata,AB
Eleocharis_gracilis,B
Eleocharis_intermedia,B
Eleocharis_interstincta,B
Eleocharis_kamtschatica,B
Eleocharis_kuroguwai,B
Eleocharis_lanceolata,B
Eleocharis_limosa,AB
Eleocharis_macrostachya,B
Eleocharis_mamillata,B
Eleocharis_microcarpa,B
Eleocharis_minuta,AB
Eleocharis_montevidensis,B
Eleocharis_multicaulis,B
Eleocharis_nitida,B
Eleocharis_obtusa,B
Eleocharis_ovata,B
Eleocharis_pallens,B
Eleocharis_palustris,B
Eleocharis_parishii,B
Eleocharis_parvula,B
Eleocharis_quadrangulata,B
Eleocharis_quinqueflora,B
